"id","name","code","duration","type","theoriticalHour","practicalHour","selfstudyHour","prerequisiteCode"
"30","Phân tích và thiết kế hướng đối tượng","INT3110","3","Khối kiến thức ngành","45",NULL,NULL,"INT2204"
"31","Phát triển ứng dụng web","INT3306","3","Khối kiến thức ngành","30","15",NULL,"INT2204, INT2207 "
"32","Trí tuệ nhân tạo","INT3401","3","Khối kiến thức ngành","45",,NULL,"INT2203"
"33","Các vấn đề hiện đại Công nghệ thông tin","INT3507","3","Khối kiến thức ngành","21","24",NULL,"INT1003"
"34","Thực tập chuyên ngành","INT3508","3","Khối kiến thức ngành","15","30",NULL,"INT1003"
"35","Phương pháp tính","MAT1099","2","Khối kiến thức ngành bổ trợ","30",NULL,NULL,"MAT1093, MAT1042"
"36","Tối ưu hóa","MAT1100","2","Khối kiến thức ngành bổ trợ","30",NULL,NULL,"MAT1093, MAT1042"
"37","Chuyên nghiệp trong công nghệ","ELT2028","2","Khối kiến thức ngành bổ trợ","30",NULL,NULL,NULL
"38","Mô hình hóa và mô phỏng","ELT2031","2","Khối kiến thức ngành bổ trợ","20","10",NULL,"INT1006"
"39","Xử lý tín hiệu số","ELT3144","4","Khối kiến thức ngành bổ trợ","45","15",NULL,"MAT1093"
"40","Nguyên lý marketing","BSA2022","3","Khối kiến thức ngành bổ trợ","21","23","1",NULL
"41","Kinh tế vi mô 1","INE1150","3","Khối kiến thức ngành bổ trợ","30","10","5",NULL
"42","Kinh tế vĩ mô 1","INE1151","3","Khối kiến thức ngành bổ trợ","30","10","5",NULL
"43","Đất nước học Nhật Bản 1","JAP2003","3","Khối kiến thức ngành bổ trợ","30","9","6",NULL
"44","Kiểm thử và đảm bảo chất lượng phần mềm","INT3117","3","Khối kiến thức ngành","45",NULL,NULL,"INT2204"
"45","Kiến trúc phần mềm","INT3105","3","Khối kiến thức ngành","45",NULL,NULL,"INT2204"
"46","Phương pháp hình thức","INT3106","3","Khối kiến thức ngành","30","15",NULL,"INT1050"
"47","Lập trình nhúng và thời gian thực","INT3108","3","Khối kiến thức ngành","30","15",NULL,"INT2205, INT2202"
"48","Thu thập và phân tích yêu cầu","INT3109","3","Khối kiến thức ngành","45",NULL,NULL,"INT2208"
"49","Quản lý dự án phần mềm","INT3111","3","Khối kiến thức ngành","45",NULL,NULL,"INT2208"
"50","Thiết kế giao diện người dùng","INT3115","3","Khối kiến thức ngành","45",NULL,NULL,"INT2204"
"51","Phát triển ứng dụng di động","INT3120","3","Khối kiến thức ngành","30","15",NULL,"INT1006"
"52","Cơ sở dữ liệu phân tán","INT3206","3","Khối kiến thức ngành","45",NULL,NULL,"INT2207"
"53","Kho dữ liệu","INT3207","3","Khối kiến thức ngành","45",NULL,NULL,"INT2207"
"54","Khai phá dữ liệu","INT3209","3","Khối kiến thức ngành","45",NULL,NULL,"INT2207"
"55","Nhập môn an toàn thông tin","INT3213","3","Khối kiến thức ngành","45",NULL,NULL,"INT3201"
"56","Phân tích, đánh giá hiệu năng hệ thống","INT3216","3","Khối kiến thức ngành","45",NULL,NULL,"INT2207"
"57","Lập trình hệ thống","INT3217","3","Khối kiến thức ngành","36","9",NULL,"INT2207"
"58","Phân tích thiết kế các HTTT","INT2020","3","Khối kiến thức ngành","45",,NULL,"INT2207"
"59","Thực hành hệ điều hành mạng","INT3301","3","Khối kiến thức ngành","15","30",NULL,"INT1006"
"60","Mạng không dây","INT3303","3","Khối kiến thức ngành","36","9",NULL,"INT2209"
"61","Lập trình mạng","INT3304","3","Khối kiến thức ngành","30","15",NULL,"INT2209"
